dateTime,BandAccX,BandAccY,BandAccZ,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus,Acceleration_X,Acceleration_Y,Acceleration_Z,MagneticField_X,MagneticField_Y,MagneticField_Z,Orientation_X,Orientation_Y,Orientation_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z
2024-06-06 12:07:46.630,805.6,7436.4,658.0,79.21883561643835,0.0,6.826,52.334691479452054,4.861730191780822,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.215354,3.64068,9.270991,8.5875,-22.809375000000003,-41.395314,-130.5990284263703,-20.52218063362704,-1.2328982626940295,0.02324033333333333,0.03407106666666667,0.013706466666666667
2024-06-06 12:07:46.642,805.6,7436.4,658.0,79.19839726027398,0.0,6.826,52.334691424657535,4.861730369863014,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.18604199999999999,3.7178485,9.2632145,8.6625,-22.81875,-41.381252,-130.6073246565385,-20.533666497789326,-1.2989150071010773,0.023274066666666666,0.033296973333333334,0.013479213333333333
2024-06-06 12:07:46.650,805.6,7436.4,658.0,79.17795890410959,0.0,6.826,52.334691369863016,4.861730547945206,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.15673,3.795017,9.255438,8.80781275,-22.80468775,-41.2171895,-130.61560737154295,-20.545161306553634,-1.3649349352695945,0.0233078,0.032522880000000004,0.01325196
2024-06-06 12:07:46.670,805.6,7436.4,658.0,79.15752054794521,0.0,6.826,52.3346913150685,4.861730726027398,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.308076,3.708875,9.035298,8.953125499999999,-22.7906255,-41.053127,-130.62387655848826,-20.55666504508973,-1.4309580557116741,0.023341533333333334,0.03174878666666667,0.013024706666666667
2024-06-06 12:07:46.690,805.6,7436.4,658.0,79.13708219178082,0.0,6.826,52.33469126027397,4.8617309041095895,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.206979,3.488735,9.218349,9.09843825,-22.776563250000002,-40.8890645,-130.63213220448736,-20.568177698554447,-1.4969843769514062,0.023375266666666665,0.030974693333333338,0.012797453333333333
2024-06-06 12:07:46.701,805.6,7436.4,658.0,79.11664383561644,0.0,6.826,52.33469120547945,4.861731082191781,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.145364,3.4630125,9.446564500000001,9.243751,-22.762501,-40.725002,-130.6403742966617,-20.57969925209168,-1.5630139075248652,0.023409,0.0302006,0.0125702
2024-06-06 12:07:46.710,805.6,7436.4,658.0,79.09620547945205,0.0,6.826,52.33469115068493,4.861731260273973,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.083749,3.43729,9.67478,9.37968825,-22.809376,-40.5750015,-130.6486028221411,-20.591229690832435,-1.629046655980148,0.023442733333333333,0.02942650666666667,0.012342946666666667
2024-06-06 12:07:46.730,805.6,7436.4,658.0,79.07576712328768,0.0,6.826,52.33469109589041,4.8617314383561645,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.189033,3.421736,9.57787,9.515625499999999,-22.856251,-40.425001,-130.65681776806372,-20.602768999894824,-1.6950826308773106,0.023476466666666668,0.028652413333333335,0.012115693333333333
2024-06-06 12:07:46.750,805.6,7436.4,658.0,79.05532876712329,0.0,6.826,52.334691041095894,4.861731616438356,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.354736,3.418147,9.31825,9.65156275,-22.903126,-40.275000500000004,-130.6650191215763,-20.614317164384104,-1.7611218407883804,0.0235102,0.027878320000000005,0.01188844
2024-06-06 12:07:46.762,805.6,7436.4,658.0,79.03489041095891,0.0,6.826,52.33469098630137,4.861731794520549,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.303091,3.4293136666666664,9.338589,9.7875,-22.950001,-40.125,-130.67320686983388,-20.625874169392663,-1.8271642942973052,0.023543933333333333,0.02710422666666667,0.011661186666666667
